Title,Author,Series,Romance.io Rating,# of Ratings,# of Reviews,Release Day/Month,Release Year,Release Date,Story Length,Page Count,Priority,Priority #,Contemporary,Futuristic,Historical,Ancient Times,Medieval,Tudors & Stuarts,Georgian,Regency,Victorian,Western Frontier,American Civil War,20th Century,Dark Romance,Young Adult,New Adult,Mystery,Suspense,Dystopian,Funny,Angst,Horror,Fantasy,High Fantasy,Urban Fantasy,Steampunk,Paranormal,Magic,Time Travel,Angels,Demons,Fae,Monsters,Shapeshifters,Werewolves,Dragon Shifter,Bear Shifter,Lion Shifter,Tiger Shifter,Vampires,Witches,Science Fiction,Aliens,M-F Romance,Gay Romance,Lesbian Romance,Non-Binary Romance,Older/Mature,Childfree,Queer Romance,Queer Awakening,Bisexuality,Age Gap,Boss & Employee,Class Difference,Grumpy & Sunshine,Height Difference,Multicultural,Arranged/Forced Marriage,Caretaking,Enemies To Lovers,Fake Relationship,Fated Mates,Forbidden Love,Forced Proximity,Friends To Lovers,Good Grovel,Hurt/Comfort,Insta-Love,Marriage Of Convenience,Other Man/Woman,Love Triangle,Cheating,Pregnancy,Second Chances,Secret Child,Secret Relationship,Sibling's Best Friend,Slow Burn,Abduction,Betrayal,Christmas,Disabilities & Scars,Found Family,Mafia,Military,Neurodivergent MC,Political/Court Ingtrigue,Slavery,Superheroes,Survival,Vengeance,War,Black MC,African-American,BW/WM,East Asian MC,Indigenous MC,Latinx MC,South Asian/Desi,Southeast Asian MC,Amish,Buddhist,Christian,Hindu,Jewish,Muslim,Pagan,Sports,Baseball,Basketball,Fighting/MMA/Boxing,Football,Hockey,Ice/Figure Skating,Soccer,Highschool,College,Workplace/Office,Small Town,Western,Africa,Northern Africa,Morocco,Eastern Africa,Djibouti,Somalia,Asia,Central Asia,East Asia,South Asia,Southeast Asia,Western Asia,Isreal,Jordan,Palestine,North America,Caribbean,Bahamas,Jamaica,Central America,Costa Rica,Canada,Mexico,USA,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York State,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington D.C.,Washington State,West Virginia,Wisconsin,Wyoming,South America,Argentina,Colombia,Peru,Europe,Ireland,United Kingdom,England,Northern Ireland,Scotland,Wales,Western & Central Europe,Belgium,France,Germany,Hungary,Netherlands,Switzerland,Scandinavia,Norway,Sweden,Southern Europe,Italy,Spain,South-East Europe,Greece,Kosovo,Romania,Serbia,Eastern Europe,Belarus,Russia,Oceania,Australia,New Zealand,Cheerful/Happy Heroine,Competent Heroine,Female Rake,Grumpy/Ice Queen,Independent Heroine,Sassy Heroine,Shy Heroine,Sweet/Gentle Heroine,Take-Charge Heroine,Dangerous Heroine,Gifted/Super-Heroine,Non-Human Heroine,Poor Heroine,Rich Heroine,Single Mother,Tortured Heroine,Trans Heroine,Curvy Heroine,Plain Heroine,Tall Heroine,Aristo/Royal Heroine,Athlete Heroine,Bodyguard/Protector Heroine,Famous Heroine,Criminal Heroine,Sleuth Heroine,Teacher/Coach Heroine,Warrior Heroine,White Collar Heroine,Working Class Heroine,Bad Boys,Cruel Hero/Bully,Grumpy/Cold Hero,Himbo,Nerdy Hero,Possessive Hero,Shy Hero,Sunny/Happy Hero,Sweet/Gentle Hero,Non-Human Hero,Rich Hero,Single Father,Tortured Hero,Trans Hero,Dad-Bod Hero,Short King,Actor Hero,Athlete Hero,Biker Hero,Bodyguard/Protector Hero,CEO/Tycoon Hero,Cowboy Hero,Fighter Hero,Men in Uniform,Pirate Hero,Politician Hero,Rockstar Hero,Teacher/Coach Hero,Warlord/Commander Hero,Working Class Hero,Highlander Hero,Royal Hero,Sheik,Viking Hero,No HEA,Nontraditional HEA,Ableism,Animal Abuse,Animal Death,Eating Disorders,Fatphobia,Gambling,Graphic Violence,Human Trafficking,Mental Illness,Mental Trauma,Miscarriage/Infertility,Misogyny,Queerphobia,Racism,Religious Trauma,Self Harm,Suicide/Ideation,Terminal Illness,Torture of MCs,Torture of Side Characters,Victim Blaming,Abuse,Abuse Between MCs,Third Party Abuse,Past Abuse,Past Child Abuse,Past Child Neglect,Death/Grief,Child Death,Substance Abuse,Alcoholism,Drug Abuse,Male POV,Dual POV,First Person POV,Third Person POV,Status,Date Started,Date Finished,Total Days,TBR Placement
Take Me to the River ,Kaci Rose,Mountain Men of Whiskey River  ,3.66,21,1,10/14,2021,14-Oct-21,Short,188,Medium Priority,2,7,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,9,,,5,,,,,5,,,,1,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,1,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,1,,Unread,,,,230
Captivated,Tessa Bailey,,3.95,142,17,6/11,2018,11-Jun-18,Medium,350,Low Priority,2,22,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,9,,,19,16,,,,,,,,,,,1,2,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,11,,,9,2,,8,,,,,8,,,,,,,,,,,,,,,,7,,,,17,,,11,,,1,,7,,14,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,10,,8,Unread,,,,231
The Failed Audition ,Krista Ritchie,Circus Is Family ,4.41,35,0,12/12,2014,12-Dec-14,Medium,399,Medium Priority,2,7,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,3,,,,,,,,,12,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,4,,,,,,,,,5,,1,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unread,,,,232
Thick,Alexa Riley,,3.57,61,2,3/13,2019,13-Mar-19,Novella,77,Medium Priority,3,8,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,8,,,2,8,,,,,,,,,,,,8,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,Unread,,,,233
The Hating Game,Sally Thorne,,4.13,657,70,8/9,2016,9-Aug-16,Medium,365,Medium Priority,3,71,,,,,,,,,,,,,,,,,,66,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,17,12,,,7,72,,,9,18,,,6,,,3,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,30,,9,38,,,,,,,,,,,,,,,,,,,,15,5,2,,19,,,20,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,Unread,,,,234
Honor's Splendour,Julie Garwood,,4.24,160,3,4/30,1987,30-Apr-87,Medium,374,Medium Priority,2,,,23,,23,,,7,,,,,,,,,6,,9,,,3,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,4,,,2,3,16,,,,3,,,1,,10,,,,12,,,,,,20,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,10,11,,,,,,,,6,,,,,3,,,,,,,,,,,,1,,,14,,,,,,,,,,,,,,,,,,,,,,,2,,10,,,,,,,,,,,,,,,,,,2,,,,,,,,,11,,3,1,,,,,,,,,2,,3,Unread,,,,235
Reckless Heart ,Brighton Walsh,Starlight Cove  ,3.9,40,3,9/8,2023,8-Sep-23,Medium,334,Medium Priority,2,10,,,,,,,,,,,,,,2,,,,4,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,1,,,,6,6,,8,4,,,,,,,,8,3,,,2,,,,,,,,7,3,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,5,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3,,,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,3,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,9,3,,Unread,,,,236
Hot Cop,Laurelin Paige,,4.04,42,2,2/13,2017,13-Feb-17,Medium,288,Low Priority,2,9,,,,,,,,,,,,,,3,,,,3,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,2,,,,,,,,2,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,3,,Unread,,,,237
American Queen ,Sierra Simone,New Camelot Trilogy  ,4.14,169,16,10/25,2016,25-Oct-16,Medium,393,Medium Priority,2,21,,,,,,,,,,,,13,,4,,15,,,12,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,18,7,,,,,,,4,,,3,14,,8,,5,20,,7,28,,,4,,12,,,,,,,,,19,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,1,3,,,,,,8,,,,,,,3,,,,,,,,6,,,,,,,6,,,,,2,,5,,,,,,,,,,,8,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,5,,Unread,,,,238
A Bride for the Prizefighter ,Alice Coldbreath,Victorian Prizefighters  ,4.11,163,18,6/25,2020,25-Jun-20,Medium,324,Medium Priority,2,,,28,,,,,,22,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,8,,,,,2,,,,,,22,,8,,31,2,11,,,,,,,2,,17,,,,,,,,,14,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,7,,,1,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,8,,,22,,,,14,,,,,,6,,,,,,,,19,,,2,2,,21,,,21,,,,,,,,,,,,,,,,,20,,,,,,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,2,2,,,,,9,Unread,,,,239
The Favor,Suzanne Wright,,3.97,200,19,10/13,2020,13-Oct-20,Medium,388,Low Priority,2,21,,,,,,,,,,,,,,7,,4,,7,11,,,,,,,,,,,,,,,,,,,,,,,8,,,,,1,,,,12,24,4,13,,,,7,,24,,,4,,,4,,21,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,12,11,,,16,,,,8,,,12,,,,,,,,,,,,,11,,2,,19,,,22,,,,,22,,15,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,2,,,,,8,,,10,4,,7,,,,,,,7,,Unread,,,,240
The Kraken's Sacrifice ,Katee Robert,A Deal With a Demon  ,3.53,102,12,9/27,2022,27-Sep-22,Short,182,Medium Priority,2,4,,,,,,,,,,,,,,,,1,,1,,,10,,,,6,1,,,9,1,8,,,,,,,,1,,,,,,,,,,,,,,,8,5,1,2,,,,,,8,,,1,,5,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,2,,,2,,2,,,,,,,,,,,,,,,7,,,4,,,,6,,,3,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,1,,1,5,,,,,,6,,,Unread,,,,241
An Inheritance of Monsters ,Cate Corvin,The Void  ,3.79,62,7,4/22,2022,22-Apr-22,Medium,351,Medium Priority,2,1,,,,,,,,,,,,,,3,,,,,1,,,,,,,7,,,6,,6,4,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,5,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unread,,,,242
Titan ,Jillian Graves,Romancing His Stone  ,3.84,62,9,6/20,2022,20-Jun-22,Medium,310,Low Priority,2,13,,,,,,,,,,,,2,,,1,1,,,,,6,,9,,8,9,,,,,16,6,,,,,,,8,,,6,,,,,4,,,,5,,,,7,,,2,,,,,6,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,2,1,,,2,,,,5,,,5,,,,4,,,,11,,,,,,,,,,,,4,,,,9,11,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,3,5,4,,Unread,,,,243
Ryan ,Jessica Gadziala,Mallick Brothers  ,4.2,20,0,1/20,2017,20-Jan-17,Short,240,Medium Priority,2,2,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,2,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,,,Unread,,,,244
Out of Nowhere ,Roan Parrish,Middle of Somewhere  ,4.25,54,5,2/29,2016,29-Feb-16,Medium,274,Low Priority,2,10,,,,,,,,,,,,4,,1,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,2,,,,,,2,,4,,,,,,,,5,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,3,,,,2,,,,,,,,,,,,,,,,,2,,,,,,,,,,2,,,,,5,,,,3,,,5,2,,,,,7,,,,,,2,,1,1,,,2,1,,Unread,,,,245
Nicky the Driver ,Cate C. Wells,Underboss Insurrection  ,3.81,80,17,9/2,2022,2-Sep-22,Medium,277,Medium Priority,3,6,,,,,,,,,,,,8,,3,,,,,6,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,7,,2,,,,8,,,,2,,1,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,3,,1,1,,,,,1,,3,,,,,,,,,,,,,,,3,,1,,,6,,,2,,3,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3,,,,4,,,,1,,,1,,,,,,4,,,1,,,2,,,,,,2,1,,Unread,,,,246
Still Beating,Jennifer Hartmann,,4.16,215,19,12/30,2020,30-Dec-20,Medium,314,High Priority,4,22,,,,,,,,,,,,33,,,,22,,,26,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,28,,,31,22,11,,14,,,16,,19,,11,,12,,6,34,,,,,,,,,11,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,2,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,8,4,,,10,,,,,,,25,,,,,,,,,,,5,,,7,,,,,,6,,,17,,,,22,,,,,,,,,,,,,,,,,11,,,,,,,,,8,,,,1,,15,,24,,,,,21,26,,1,,2,34,,17,,,,13,,16,3,,3,20,5,,Unread,,,,247
Cold Hearted ,Heather Guerre,Tooth & Claw  ,4.09,191,22,10/27,2020,27-Oct-20,Medium,304,Low Priority,2,18,,,,,,,,,,,,,,,2,5,,,2,,6,,6,,24,,,,,,,29,26,,,,,21,,,,4,,,,,,,,,,,,,,,,,21,,,,16,,,,,,,,,,,,,,19,,,,,5,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,27,,,,,,,,,,,,,,,,,,,,,,,,,4,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,19,,,,9,,,,,,,14,,,,,,23,,,16,,,,16,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,21,4,,,,,,,,,,,,10,,15,4,,,,,,,,,,,4,Unread,,,,248
Seduced by a Beast ,Miranda Bridges,Hearts of Stone  ,4.09,16,0,3/16,2020,16-Mar-20,Short,193,Medium Priority,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,6,6,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unread,,,,249
Bring Me Back,Kristen Granata,,4.11,26,0,7/27,2022,27-Jul-22,Medium,295,Medium Priority,2,3,,,,,,,,,,,,1,,,,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,2,,,,,,,,,,,2,,1,,,1,1,,2,Unread,,,,250
Lizzie Blake's Best Mistake ,Mazey Eddings,A Brush with Love  ,4.03,42,8,9/6,2022,6-Sep-22,Medium,336,Low Priority,2,9,,,,,,,,,,,,,,4,,,,7,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,5,,,,,,,,,6,4,,,3,,,,,9,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,1,,,2,,,,,,,,,,1,,2,,,,,,,,,,,,,,,,,,,,,5,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,4,,,Unread,,,,251
The One Month Boyfriend ,Roxie Noir,Wildwood Society  ,4.2,65,6,5/24,2022,24-May-22,Long,430,Medium Priority,2,18,,,,,,,,,,,,,,,,,,13,2,,,,,,,,,,,,,,,,,,,,,,,11,,,,,5,,,,,,,10,,,,,17,16,,,10,,,6,,,,,,,,,,,,,,,13,2,,16,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,6,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,14,,4,13,,4,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,9,9,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,7,,,,,,,13,,,,,,,,,,,5,,7,,,,9,5,,Unread,,,,252
What If You & Me ,Roni Loren,Say Everything  ,3.99,37,1,7/6,2021,6-Jul-21,Medium,320,Low Priority,2,6,,,,,,,,,,,,,,1,,,,3,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,1,,,4,,,,,,,,,,3,,,,,,,,,,,,,,,,,3,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,1,,,,,,,,,,,,,,,,,,,,,,2,,,,,,3,,,,1,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,Unread,,,,253
Against a Wall ,Cate C. Wells,Stonecut County  ,4.05,268,33,1/21,2022,21-Jan-22,Medium,348,Medium Priority,3,26,,,,,,,,,,,,,,10,,,,10,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,5,11,1,,,,37,28,,,,,2,,,,,,,,10,,,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,11,10,21,,,,,,,,,9,,26,,,,,,,,,,,,25,,17,,29,,17,,8,16,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,3,,,,8,,,,3,,5,,,,10,,,,,,14,,5,Unread,,,,254
The Flatshare,Beth O'Leary,,3.89,257,32,4/10,2019,10-Apr-19,Medium,394,Low Priority,2,26,,,,,,,,,,,,,,11,,,,24,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,7,,,,,,,19,29,2,,,,,,,,,,,,17,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,3,3,,10,,,,,8,,,6,,,,10,,,,,,,,,4,4,,,,,,,7,,15,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,3,,,,23,,4,8,,,,,,,,4,13,4,,Unread,,,,255
Fractured ,Blake Blessing,The Fragile Minds Duet  ,4.13,8,1,5/4,2021,4-May-21,Medium,294,Medium Priority,2,2,,,,,,,,,,,,,,,1,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,1,,,,,1,,,,,1,,,,,,,,,,Unread,,,,256
